strategy_id,scenario_id,year,period,units,revenue,variable_cost,fixed_cost,lost_mechanical_units,cannibalization_loss,brand_loss,operating_cash,discounted_cash,cannibalization_pct,brand_haircut
4,1,2029,3,10374,829920.0,91291.20000000001,350000,544.635,2124076.5,663766.623,-2399214.323,-1707713.3653824248,0.0544635,0.018000000000000002
4,2,2027,1,6840,547200.0,54720,350000,239.40000000000003,933660.0000000002,456796.08,-1247976.0800000003,-1114264.3571428573,0.023940000000000003,0.012
4,2,2028,2,11400,912000.0,91200,350000,399.00000000000006,1556100.0000000005,449326.8,-1534626.8000000005,-1223395.0892857146,0.039900000000000005,0.012
4,2,2029,3,14820,1185600.0,118560,350000,518.7,2022930.0000000005,443724.84,-1749614.8400000005,-1245341.2843932216,0.051870000000000006,0.012
4,3,2027,1,8208,656640.0,62380.799999999996,350000,215.46000000000004,840294.0000000002,343437.3540000001,-939472.1540000003,-838814.423214286,0.021546000000000003,0.009000000000000001
4,3,2028,2,13680,1094400.0,103968.0,350000,359.1,1400490.0,338395.58999999997,-1098453.5899999999,-875680.4767219386,0.035910000000000004,0.009000000000000001
4,3,2029,3,17784,1422720.0,135158.4,350000,466.83000000000004,1820637.0000000005,334614.267,-1217689.6670000004,-866727.4529370901,0.046683,0.009000000000000001
5,1,2027,1,871,1123590.0,665879.5,1100000,23.517,91716.3,233449.70220000006,-967455.5022000001,-863799.5555357143,0.0023517,0.006
5,1,2028,2,1452,1873080.0,1110054.0,1100000,39.204,152895.6,233082.62639999998,-722952.2263999999,-576333.088647959,0.0039204,0.006
5,1,2029,3,1887,2434230.0,1442611.5000000002,1100000,50.94899999999999,198701.09999999998,232807.79340000002,-539890.3934000002,-384283.31800633203,0.005094899999999999,0.006
5,2,2027,1,1244,1604760.0,864580,1100000,22.392,87328.8,155650.68480000002,-602799.4848,-538213.8257142856,0.0022392,0.004
5,2,2028,2,2074,2675460.0,1441430,1100000,37.331999999999994,145594.8,155417.6208,-166982.4208,-133117.36352040814,0.0037331999999999995,0.004
5,2,2029,3,2696,3477840.0,1873720,1100000,48.528,189259.2,155242.96320000003,159617.83679999996,113612.82343294454,0.0048528,0.004
5,3,2027,1,1493,1925970.0,985753.25,1100000,20.1555,78606.45,116764.18065,-355153.88065,-317101.6791517857,0.00201555,0.003
5,3,2028,2,2489,3210810.0,1643362.25,1100000,33.6015,131045.85,116606.86244999999,219795.03755000004,175219.25825095663,0.00336015,0.003
5,3,2029,3,3235,4173150.0,2135908.75,1100000,43.6725,170322.75,116489.03175,650429.46825,462962.84809613007,0.00436725,0.003
